CHR	SNP	gPoint	END	NumberOfSites	Fst	Species	gPoint_c	CHR_IDs	CHR_State	outlier_status
scaffold1	scaffold1:72547500	72532500	72547500	14706	0.609568	Loch Nell C (SCO) vs. Loch Ryan W (SCO)	72510000	1	Odd	TRUE
scaffold1	scaffold1:72562500	72547500	72562500	14991	0.675755	Loch Nell C (SCO) vs. Loch Ryan W (SCO)	72525000	1	Odd	TRUE
scaffold1	scaffold1:72592500	72577500	72592500	12223	0.654819	Loch Nell C (SCO) vs. Loch Ryan W (SCO)	72555000	1	Odd	TRUE
scaffold1	scaffold1:72607500	72592500	72607500	4225	0.68553	Loch Nell C (SCO) vs. Loch Ryan W (SCO)	72570000	1	Odd	TRUE
scaffold2	scaffold2:25837500	25822500	25837500	13255	0.66451	Loch Nell C (SCO) vs. Loch Ryan W (SCO)	140295000	2	Even	TRUE
scaffold1	scaffold1:58207500	58192500	58207500	14887	0.658823	Loch Nell C (SCO) vs. Sydkoster C (SWE)	58185000	1	Odd	TRUE
scaffold1	scaffold1:58267500	58252500	58267500	14847	0.604654	Loch Nell C (SCO) vs. Sydkoster C (SWE)	58245000	1	Odd	TRUE
scaffold1	scaffold1:63262500	63247500	63262500	14646	0.639818	Loch Nell C (SCO) vs. Sydkoster C (SWE)	63240000	1	Odd	TRUE
scaffold1	scaffold1:69172500	69157500	69172500	13369	0.628521	Loch Nell C (SCO) vs. Sydkoster C (SWE)	69150000	1	Odd	TRUE
scaffold1	scaffold1:72592500	72577500	72592500	12220	0.639879	Loch Nell C (SCO) vs. Sydkoster C (SWE)	72570000	1	Odd	TRUE
scaffold1	scaffold1:72607500	72592500	72607500	4230	0.628019	Loch Nell C (SCO) vs. Sydkoster C (SWE)	72585000	1	Odd	TRUE
scaffold1	scaffold1:73672500	73657500	73672500	15001	0.61387	Loch Nell C (SCO) vs. Sydkoster C (SWE)	73650000	1	Odd	TRUE
scaffold1	scaffold1:75817500	75802500	75817500	14839	0.698257	Loch Nell C (SCO) vs. Sydkoster C (SWE)	75795000	1	Odd	TRUE
scaffold1	scaffold1:82747500	82732500	82747500	14856	0.619914	Loch Nell C (SCO) vs. Sydkoster C (SWE)	82725000	1	Odd	TRUE
scaffold1	scaffold1:84892500	84877500	84892500	13849	0.637398	Loch Nell C (SCO) vs. Sydkoster C (SWE)	84870000	1	Odd	TRUE
scaffold1	scaffold1:85027500	85012500	85027500	14681	0.612848	Loch Nell C (SCO) vs. Sydkoster C (SWE)	85005000	1	Odd	TRUE
scaffold1	scaffold1:89242500	89227500	89242500	14785	0.649122	Loch Nell C (SCO) vs. Sydkoster C (SWE)	89220000	1	Odd	TRUE
scaffold1	scaffold1:106387500	106372500	106387500	10487	0.655027	Loch Nell C (SCO) vs. Sydkoster C (SWE)	106365000	1	Odd	TRUE
scaffold2	scaffold2:4597500	4582500	4597500	14854	0.615946	Loch Nell C (SCO) vs. Sydkoster C (SWE)	119070000	2	Even	TRUE
scaffold2	scaffold2:22897500	22882500	22897500	14956	0.644129	Loch Nell C (SCO) vs. Sydkoster C (SWE)	137370000	2	Even	TRUE
scaffold2	scaffold2:24442500	24427500	24442500	14958	0.665895	Loch Nell C (SCO) vs. Sydkoster C (SWE)	138915000	2	Even	TRUE
scaffold2	scaffold2:24457500	24442500	24457500	14925	0.783262	Loch Nell C (SCO) vs. Sydkoster C (SWE)	138930000	2	Even	TRUE
scaffold2	scaffold2:56617500	56602500	56617500	14974	0.607234	Loch Nell C (SCO) vs. Sydkoster C (SWE)	171090000	2	Even	TRUE
